;time;customer;location
0;07:00:00;Joan Garza;entrance
1;07:00:00;Margaret Scott;entrance
2;07:00:00;Judith White;entrance
3;07:00:00;Haley Perkins;entrance
4;07:00:00;Kurt Fuller;entrance
5;07:01:00;Joan Garza;dairy
6;07:01:00;Margaret Scott;spices
7;07:01:00;Judith White;spices
8;07:01:00;Haley Perkins;fruit
9;07:01:00;Kurt Fuller;spices
10;07:01:00;Michael Velazquez;entrance
11;07:01:00;Mr. Christopher Gutierrez DDS;entrance
12;07:01:00;Ellen Williams;entrance
13;07:01:00;Gilbert Lawson;entrance
14;07:01:00;Jennifer Alvarez;entrance
15;07:01:00;Robert Rios;entrance
16;07:01:00;Derek Andrade;entrance
17;07:02:00;Joan Garza;drinks
18;07:02:00;Margaret Scott;fruit
19;07:02:00;Judith White;dairy
20;07:02:00;Haley Perkins;dairy
21;07:02:00;Kurt Fuller;spices
22;07:02:00;Michael Velazquez;dairy
23;07:02:00;Mr. Christopher Gutierrez DDS;spices
24;07:02:00;Ellen Williams;spices
25;07:02:00;Gilbert Lawson;dairy
26;07:02:00;Jennifer Alvarez;fruit
27;07:02:00;Robert Rios;spices
28;07:02:00;Derek Andrade;drinks
29;07:02:00;Christopher Lopez;entrance
30;07:02:00;Matthew Barrera;entrance
31;07:02:00;Peter Collins;entrance
32;07:02:00;Joshua Porter;entrance
33;07:03:00;Joan Garza;checkout and leave
34;07:03:00;Margaret Scott;spices
35;07:03:00;Judith White;checkout and leave
36;07:03:00;Haley Perkins;spices
37;07:03:00;Kurt Fuller;dairy
38;07:03:00;Michael Velazquez;fruit
39;07:03:00;Mr. Christopher Gutierrez DDS;fruit
40;07:03:00;Ellen Williams;fruit
41;07:03:00;Gilbert Lawson;spices
42;07:03:00;Jennifer Alvarez;checkout and leave
43;07:03:00;Robert Rios;drinks
44;07:03:00;Derek Andrade;fruit
45;07:03:00;Christopher Lopez;dairy
46;07:03:00;Matthew Barrera;dairy
47;07:03:00;Peter Collins;drinks
48;07:03:00;Joshua Porter;spices
49;07:03:00;Richard Watts;entrance
50;07:03:00;Susan Jones;entrance
51;07:03:00;Morgan Rich;entrance
52;07:03:00;Clayton Mckinney;entrance
53;07:03:00;Russell Suarez;entrance
54;07:03:00;Jenna Ortega;entrance
55;07:03:00;Mary Bryant;entrance
56;07:03:00;Brandy Peterson;entrance
57;07:04:00;Margaret Scott;drinks
58;07:04:00;Haley Perkins;dairy
59;07:04:00;Kurt Fuller;drinks
60;07:04:00;Michael Velazquez;dairy
61;07:04:00;Mr. Christopher Gutierrez DDS;fruit
62;07:04:00;Ellen Williams;spices
63;07:04:00;Gilbert Lawson;spices
64;07:04:00;Robert Rios;drinks
65;07:04:00;Derek Andrade;dairy
66;07:04:00;Christopher Lopez;fruit
67;07:04:00;Matthew Barrera;dairy
68;07:04:00;Peter Collins;dairy
69;07:04:00;Joshua Porter;fruit
70;07:04:00;Richard Watts;dairy
71;07:04:00;Susan Jones;drinks
72;07:04:00;Morgan Rich;fruit
73;07:04:00;Clayton Mckinney;spices
74;07:04:00;Russell Suarez;spices
75;07:04:00;Jenna Ortega;dairy
76;07:04:00;Mary Bryant;spices
77;07:04:00;Brandy Peterson;spices
78;07:04:00;Brittney Molina;entrance
79;07:04:00;Lindsey Osborn;entrance
80;07:04:00;Shannon Lopez;entrance
81;07:04:00;Mr. Anthony Barnett;entrance
82;07:04:00;Thomas Dorsey;entrance
83;07:04:00;Daniel Martin;entrance
84;07:05:00;Margaret Scott;dairy
85;07:05:00;Haley Perkins;dairy
